 select hdr.[year], pos.RegArea, hal.frklen, hal.bbage, hal.srfage
from stlHeader hdr, stlHalibut hal, stlStationPositions pos
where hdr.[year] between 1998 and 2011 and hdr.stlkey = hal.stlkey and STR(hdr.stnno,4,0) = pos.Station and
      hdr.[year] = pos.[Year] and hdr.prpcde IN ('SG','ES','BG','DE','SE') and
      (hal.srfage IS NOT NULL or hal.bbage IS NOT NULL)

	
year,area,length,bbage,srfage
1998,4B,100,NULL,12
1998,4B,83,NULL,12
1998,4B,94,15,15
1998,4B,113,NULL,14
1998,4B,109,19,17
1998,4B,87,NULL,9
1998,4B,49,NULL,5
1998,4B,130,NULL,12
1998,4B,94,NULL,13
1998,4B,107,NULL,17
1998,4B,98,NULL,18
1998,4B,85,NULL,15
1998,4B,105,NULL,17
1998,4B,79,NULL,11
1998,4B,92,NULL,12
1998,4B,96,NULL,16
1998,4B,92,NULL,13
1998,4B,70,NULL,6
1998,4B,98,NULL,15
1998,4B,90,NULL,8
1998,4B,82,NULL,10
1998,4B,101,17,17
1998,4B,95,NULL,12
1998,4B,90,NULL,11
1998,4B,108,21,20
1998,4B,122,NULL,13
1998,4B,110,19,19
1998,4B,98,NULL,15
1998,4B,110,NULL,18
1998,4B,91,NULL,15
1998,4B,106,18,18
1998,4B,94,NULL,12
1998,4B,64,NULL,6
1998,4B,76,NULL,7
1998,4B,79,NULL,12
1998,4B,81,NULL,10
1998,4B,89,NULL,15
1998,4B,90,NULL,12
1998,4B,95,NULL,17
1998,4B,123,NULL,14
1998,4B,91,NULL,12
1998,4B,93,NULL,12
1998,4B,94,NULL,12
1998,4B,111,NULL,19
1998,4B,96,NULL,13
1998,4B,89,NULL,12
1998,4B,94,NULL,12
1998,4B,102,NULL,15
1998,4B,87,NULL,12
1998,4B,92,NULL,15
1998,4B,155,NULL,17
1998,4B,93,NULL,12
1998,4B,140,NULL,18
1998,4B,104,NULL,16
1998,4B,132,NULL,19
1998,4B,125,NULL,16
1998,4B,98,NULL,15
1998,4B,96,NULL,18
1998,4B,97,NULL,15
1998,4B,94,NULL,18
1998,4B,119,NULL,17
1998,4B,104,NULL,16
1998,4B,58,NULL,6
1998,4B,75,NULL,11
